Scraping_Date,Type,Description,Bedrooms,Bathrooms,Area,Down Payment,Price,Location
2025-03-31,Apartment,2nd floor - Fully finished - Low DP - Instalments,2,2, 144 sqm," 4,603,880 EGP","10,880,000 EGP","City Gate, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo"
2025-03-31,Twin House,Twin house for sale in City Gate with installment,3,4, 280 sqm,Cash,"20,500,000 EGP","City Gate, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo"
2025-03-31,Apartment,RESALE Apartment in living Compound-Special Price,3,3, 162 sqm,Cash,"5,175,000 EGP","Rock Vera, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo"
2025-03-31,Apartment,4Bed Finished Apt. Ready to move in Zayed -DP 3.3M,4,3, 195 sqm,Cash,"3,300,000 EGP","Namya West, Sheikh Zayed City, Giza"
2025-03-31,Twin House,Twin House villa for Sale - City Gate,4,5, 269 sqm,Cash,"37,612,000 EGP","City Gate, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo"
2025-03-31,Apartment,Ready to move Finished Apt. Near Mall of Arabia,3,2, 130 sqm,Cash,"3,200,000 EGP","Kayan, Sheikh Zayed Compounds, Sheikh Zayed City, Giza"
2025-03-31,Apartment,Apartment in Al Marasem for sale - Ready to move,3,2, 166 sqm,Cash,"10,500,000 EGP","Moon Residences, Fifth Square, The 5th Settlement, New Cairo City, Cairo"
2025-03-31,Apartment,Apartment finished prime view in zed east by ORA,2,2, 132 sqm," 3,500,000 EGP","13,431,000 EGP","Zed East, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo"
2025-03-31,Apartment,A fully finished apartment for sale prime location,3,2, 153 sqm,Cash,"2,900,000 EGP","AlKarma Kay, Sheikh Zayed Compounds, Sheikh Zayed City, Giza"
2025-03-31,Apartment,Own in Swan Lake F.Finished APT Prime Location,2,3, 130 sqm,Cash,"7,370,100 EGP","Swan Lake Residence, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo"
